Epoch 1, Train Loss: 1.0337
Epoch 2, Train Loss: 1.0166
Epoch 3, Train Loss: 1.0109
Epoch 4, Train Loss: 0.9979
Epoch 5, Train Loss: 0.9897
Epoch 6, Train Loss: 1.0093
Epoch 7, Train Loss: 0.9843
Epoch 8, Train Loss: 0.9970
Epoch 9, Train Loss: 0.9830
Epoch 10, Train Loss: 0.9950
Epoch 11, Train Loss: 0.9970
Epoch 12, Train Loss: 1.0040
Epoch 13, Train Loss: 1.0064
Epoch 14, Train Loss: 0.9998
Epoch 15, Train Loss: 1.0191
Epoch 16, Train Loss: 1.0007
Epoch 17, Train Loss: 0.9936
Epoch 18, Train Loss: 1.0000
Epoch 19, Train Loss: 1.0108
Epoch 20, Train Loss: 1.0019


